,name of item,price (RM),number of downloads,item URL
34,1200 Instagram Templates - Aesthetic | Modern | Minimal | Neutral | Black  & White -  Post -  Stories - Business - Instagram Templates Canva,35.41,43.0,https://www.etsy.com/listing/1621018635/1200-instagram-templates-aesthetic?click_key=5fe44e817a8c29fe8acf281b3cf7ff3dc1d6f819%3A1621018635&click_sum=6426daaf&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=canva+template&ref=search_grid-755556-1-23&pro=1&bes=1&sts=1&dd=1
35,"Chip Bag Template, Blank Chip Bag, Chip Bag Template Canva Editable, Chip Bag Label, Party chip bag, chip bag editable, template for cricut",4.08,9800.0,https://www.etsy.com/listing/1357735636/chip-bag-template-blank-chip-bag-chip?click_key=2d2cc6f1a714c7403ac07de2c2ed04a887827207%3A1357735636&click_sum=4a21d66d&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=canva+template&ref=search_grid-755556-1-24&pro=1&bes=1&dd=1
36,Galentines Party Invitation | Digital Invitation | Editable Invitation Template | Phone Invitation | Minimal Valentine Invite | Galentine,26.43,1200.0,https://www.etsy.com/listing/1658969388/galentines-party-invitation-digital?click_key=02814e876298c8cb524a0fab92239c71ebf99af7%3A1658969388&click_sum=60b55bb2&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=canva+template&ref=search_grid-755555-1-13&dd=1
37,Real Estate Social Media Templates - Real Estate Instagram Posts - Realtor Social Media - Real Estate Instagram Stories - Realtor Templates,51.79,136.0,https://www.etsy.com/listing/1481750159/real-estate-social-media-templates-real?click_key=ff3f8bfec3bab7edcd19a46f61957dcb4e8946a7%3A1481750159&click_sum=6eaf841a&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=canva+template&ref=search_grid-755555-1-14&pro=1&bes=1&dd=1
38,PLR Digital Planner Ebook PLR Planner Templates Plr Digital Products Editable Canva Template Commercial Use Goodnotes Planner Hyperlinked,110.97,80.0,https://www.etsy.com/listing/1661324718/plr-digital-planner-ebook-plr-planner?click_key=4c0433ca22651095f0c0e72eb65e87d2e47ae756%3A1661324718&click_sum=de972abc&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=canva+template&ref=search_grid-755555-1-15&pro=1&sts=1&dd=1
39,Rotating 11oz an 15oz Mug Canva Template 180 Degree Rotation |  EASY Edit in CANVA - 7 Second Video,22.12,3400.0,https://www.etsy.com/listing/1654346572/rotating-11oz-an-15oz-mug-canva-template?click_key=897446020f5511e6b922212d5e84cd9fedc0e9b0%3A1654346572&click_sum=ab15d745&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=canva+template&ref=search_grid-755555-1-16&pro=1&dd=1
40,CV TEMPLATE Resume Word. Professional Resume Template. Minimalist Executive. CV template free. Resume Template Bundle. Curriculum Vitae,11.98,32200.000000000004,https://www.etsy.com/listing/825084954/cv-template-resume-word-professional?click_key=9a4c6b5f696eb373eeade6480a845e35a43e43eb%3A825084954&click_sum=98fafdaa&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=canva+template&ref=search_grid-755556-1-25&pro=1&bes=1&dd=1
41,Monthly Budget Spreadsheet | Blush Pink Palette | Simple Annual Budget | Personal Finances | Easy Google Sheets | Financial Planner Easy,5.28,4300.0,https://www.etsy.com/listing/1344426956/monthly-budget-spreadsheet-blush-pink?click_key=3dbece6aeed3462bd24841b856351b9fc7e80dc7%3A1344426956&click_sum=a5314745&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=canva+template&ref=search_grid-755556-1-26&pro=1&bes=1&sts=1&dd=1
42,"Undated Goodnotes Planner, Monthly Digital Planner, Goodnotes Template, iPad Planner, Digital Journal Pdf, Goodnotes Stickers Boho, Simple",10.42,11400.0,https://www.etsy.com/listing/1068739082/undated-goodnotes-planner-monthly?click_key=b27c6ec6b7d26e2bf3f3762dece329aa18794b94%3A1068739082&click_sum=fccaa6a6&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=canva+template&ref=search_grid-755556-1-27&pro=1&bes=1&sts=1&dd=1
43,"Business Development Instagram Posts for Canva, Corporate Templates, Boost Your Feed, Business Marketing, Business Coach",12.96,744.0,https://www.etsy.com/listing/1415913214/business-development-instagram-posts-for?click_key=6d4039c0de7ac74a8afa6b0c2c66666e40b5dc85%3A1415913214&click_sum=b413f8fe&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=canva+template&ref=search_grid-755556-1-28&pro=1&bes=1&sts=1&dd=1
44,800 Bright Instagram Templates - Social Media Template - Instagram Templates for Business - Pastel Instagram Post - Story Template - GG02,33.25,2900.0,https://www.etsy.com/listing/1508777601/800-bright-instagram-templates-social?click_key=b01623efc7d261c74670bd2b38ef26c0b8d8a00e%3A1508777601&click_sum=15852ba8&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=canva+template&ref=search_grid-755556-1-29&pro=1&sts=1&dd=1
45,"4000 Infographics for Business and Social Media on Canva! Boost Entrepreneurial Posts this Thanksgiving on Facebook, Pinterest!",20.15,703.0,https://www.etsy.com/listing/1371699466/4000-infographics-for-business-and?click_key=5d31a986c003eb303e2e91cd64a30374d84143f3%3A1371699466&click_sum=50bbbaf2&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=canva+template&ref=search_grid-755556-1-30&pro=1&dd=1
46,"Digital Note Paper, Digital Notes, Note Paper, Lined, Grid, Dotted, Blank, Cornell and Schedule Note Templates | For iPad ONLY",16.65,9900.0,https://www.etsy.com/listing/1313252579/digital-note-paper-digital-notes-note?click_key=499f05dd30b8aa2cce090cd4f39e1559a759698a%3A1313252579&click_sum=980209c8&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=canva+template&ref=search_grid-755556-1-31&bes=1&sts=1&dd=1
47,Ebook Template | Editable Coaching Workbook Template | Canva Template | Course Guide | Lead Magnet | Luxury Broschure,20.57,3000.0,https://www.etsy.com/listing/1565391282/ebook-template-editable-coaching?click_key=1b19d1e168bdbce507524aca1b70e9fcf3425f38%3A1565391282&click_sum=6fbfee2e&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=canva+template&ref=search_grid-755556-1-32&pro=1&bes=1&sts=1&dd=1
48,Ebook Template Canva | Coaching Guide Book Canva Template| Lead Magnet | Course Creator Template | Modern Workbook,31.70,5200.0,https://www.etsy.com/listing/1095576710/ebook-template-canva-coaching-guide-book?click_key=398526c87d5f0a79083e99f6756425a610416460%3A1095576710&click_sum=0438eb30&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=canva+template&ref=search_grid-755556-1-33&pro=1&bes=1&dd=1
49,"That Girl Planner Undated, Digital Planner, GoodNotes Planner, iPad & Android Planner, Daily, Weekly, Monthly 2024, Undated Digital Calendar",4.58,2600.0,https://www.etsy.com/listing/1592436120/that-girl-planner-undated-digital?click_key=4e7132f1a2a8ac43fa5a4240187609ced82f9cf8%3A1592436120&click_sum=85e56aa7&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=canva+template&ref=search_grid-755556-1-34&pro=1&bes=1&sts=1&dd=1
50,"1000 T-shirt Designs Midjourney Prompts, AI Art, Midjourney Prompt, Midjourney AI Art, Learn Midjourney, Digital Art, AI Generate, Art Print",15.40,3400.0,https://www.etsy.com/listing/1481412877/1000-t-shirt-designs-midjourney-prompts?click_key=6955cbc45460ec605efc470bd532585e95c94f6c%3A1481412877&click_sum=2f146a21&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=canva+template&ref=search_grid-755556-1-35&pro=1&bes=1&sts=1&dd=1
51,50 Mug MockUps Coffee Cup Mock up Bundle modern Mock Up Photograph Styled Stock Photo Template Couple Coffee Cup Mockup JPG Digital Download,8.38,26500.0,https://www.etsy.com/listing/922295446/50-mug-mockups-coffee-cup-mock-up-bundle?click_key=41f65098f595563c8a2a30e1697e0746606d1210%3A922295446&click_sum=0798d891&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=canva+template&ref=search_grid-755556-1-36&bes=1&dd=1
52,"750+ Party favor bundle, Party favor templates",9.55,431.0,https://www.etsy.com/listing/1568263338/750-party-favor-bundle-party-favor?click_key=69b75c528a6795da79815d22a66d2c51887360e8%3A1568263338&click_sum=2e88eaf4&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=canva+template&ref=search_grid-755556-1-37&pro=1&bes=1&dd=1
53,"Digital Daily Journal, GoodNotes Journal, Diary Journal, 366 Daily Pages Journal, iPad Journal, Notabiliity Journal, Digital Diary",5.99,9500.0,https://www.etsy.com/listing/1201946012/digital-daily-journal-goodnotes-journal?click_key=2aa98d7363bde2ebb18902268319ab888d943730%3A1201946012&click_sum=7af0ae10&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=canva+template&ref=search_grid-755556-1-38&pro=1&bes=1&dd=1
54,"Party Favor Template Bundle 36, Save Bundle,Chip bag,template, Water bottle label, Juice pouch label,Chocolate bar wrapper,Ring Pop Template",8.17,276.0,https://www.etsy.com/listing/1557372263/party-favor-template-bundle-36-save?click_key=7ae090b64607a732880ee224e92802226c407c1f%3A1557372263&click_sum=dfa72867&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=canva+template&ref=search_grid-755556-1-39&pro=1&bes=1&dd=1
55,Budget Planner Google Sheets Monthly Budget Spreadsheet Excel Weekly Paycheck Budget Template Biweekly Budgeting by Paycheck Expense Tracker,16.65,7000.0,https://www.etsy.com/listing/1413307252/budget-planner-google-sheets-monthly?click_key=2d261b576d8b0f0fa22d2eed66633a96791e5dd7%3A1413307252&click_sum=30d5705a&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=canva+template&ref=search_grid-755556-1-40&pro=1&bes=1&sts=1&dd=1
56,"Social Media Templates Canva, Coaching Instagram Templates, Small Business Instagram Content Templates, Minimalistic Templates Neutral Insta",59.94,505.0,https://www.etsy.com/listing/1472650698/social-media-templates-canva-coaching?click_key=0bc2979ee922a46ac097446a4d44ad4d36d3ad75%3A1472650698&click_sum=078c523d&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=canva+template&ref=search_grid-755556-1-41&pro=1&bes=1&sts=1&dd=1
57,2000 Canva Sale Marketing Templates for Instagram| Ecommerce Marketing Templates| Instagram Sale and Promotion Post Story| Digital Marketing,32.53,1400.0,https://www.etsy.com/listing/1588987049/2000-canva-sale-marketing-templates-for?click_key=80a24b163c14377d21c8ea3213a0c08a9c16604c%3A1588987049&click_sum=7371c78b&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=canva+template&ref=search_grid-755556-1-42&pro=1&bes=1&dd=1
58,"Nutrition Instagram, Nutrition Template, Fitness Instagram, Canva Template, Nutrition Coach, Wellness Instagram Template, Health Instagram",8.64,15.0,https://www.etsy.com/listing/1517109046/nutrition-instagram-nutrition-template?click_key=bde75ff2fa7f261863843e5848b63294c8f42722%3A1517109046&click_sum=86fd4bdc&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=canva+template&ref=search_grid-755556-1-43&dd=1
59,"CV TEMPLATE, Resume Word, Pages, Professional Resume Template, Minimalist Executive, Resume Template Bundle. Curriculum Vitae, 1, 2, 3 Page",12.36,50.0,https://www.etsy.com/listing/1492166318/cv-template-resume-word-pages?click_key=5a89fcce24d5503e170e562151053f3567d682ce%3A1492166318&click_sum=57e02c5b&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=canva+template&ref=search_grid-755556-1-44&pro=1&bes=1&dd=1
60,"Colorful Instagram Post Templates, Boho Canva Templates, Bright Instagram Posts, Vibrant Post Templates, Retro Vibes Creative Templates IG",34.25,505.0,https://www.etsy.com/listing/1402837729/colorful-instagram-post-templates-boho?click_key=d4b96d4e91321614bdb6023debdf35a40faaa837%3A1402837729&click_sum=9bae178e&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=canva+template&ref=search_grid-755556-1-45&pro=1&bes=1&sts=1&dd=1
